timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1747034072.947007,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,49,749000000,20,100,0,48,4704,0.9795918367346939,6.408544726301735e-08,96.0,6.280373831775701e-06,0
1747034082.94872,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,59,756000000,20,100,0,59,5782,1.0,7.804232804232804e-08,98.0,7.648148148148148e-06,0
1747034082.94872,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,59,752000000,20,100,0,58,5684,0.9830508474576272,7.712765957446809e-08,96.33898305084746,7.558510638297872e-06,0
1747034092.950435,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,69,758000000,20,100,0,68,6664,0.9855072463768116,8.970976253298153e-08,96.57971014492753,8.79155672823219e-06,0
1747034092.950435,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,69,754000000,20,100,0,67,6566,0.9710144927536232,8.885941644562335e-08,95.15942028985508,8.708222811671088e-06,0
1747034102.951069,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,79,759000000,20,100,0,78,7644,0.9873417721518988,1.0276679841897233e-07,96.75949367088607,1.0071146245059288e-05,0
1747034102.951069,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,79,755000000,20,100,0,77,7546,0.9746835443037974,1.0198675496688741e-07,95.51898734177215,9.994701986754968e-06,0
1747034112.953676,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,89,762000000,20,100,0,88,8624,0.9887640449438202,1.1548556430446194e-07,96.89887640449439,1.131758530183727e-05,0
1747034112.953676,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,89,758000000,20,100,0,87,8526,0.9775280898876404,1.1477572559366754e-07,95.79775280898876,1.124802110817942e-05,0
1747034122.95728,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,99,765000000,20,100,0,98,9604,0.98989898989899,1.281045751633987e-07,97.01010101010101,1.2554248366013073e-05,0
1747034122.95728,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,99,761000000,20,100,0,97,9506,0.9797979797979798,1.2746386333771353e-07,96.02020202020202,1.2491458607095926e-05,0
1747034132.958588,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,9,414000000,20,100,0,9,882,1.0,2.173913043478261e-08,98.0,2.130434782608696e-06,0
1747034132.958588,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,9,411000000,20,100,0,9,882,1.0,2.1897810218978102e-08,98.0,2.145985401459854e-06,0
1747034142.962596,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,19,417000000,20,100,0,19,1862,1.0,4.5563549160671465e-08,98.0,4.465227817745804e-06,0
1747034142.962596,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,19,414000000,20,100,0,19,1862,1.0,4.589371980676329e-08,98.0,4.497584541062802e-06,0
1747034152.963102,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,29,419000000,20,100,0,29,2842,1.0,6.921241050119332e-08,98.0,6.782816229116945e-06,0
1747034152.963102,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,29,416000000,20,100,0,29,2842,1.0,6.971153846153846e-08,98.0,6.831730769230769e-06,0
1747034162.9652,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,39,421000000,20,100,0,39,3822,1.0,9.263657957244655e-08,98.0,9.078384798099763e-06,0
1747034162.9652,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,39,418000000,20,100,0,39,3822,1.0,9.330143540669857e-08,98.0,9.14354066985646e-06,0
1747034172.967351,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,49,423000000,20,100,0,48,4704,0.9795918367346939,1.1347517730496453e-07,96.0,1.1120567375886525e-05,0
1747034172.967351,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,49,420000000,20,100,0,48,4704,0.9795918367346939,1.1428571428571429e-07,96.0,1.12e-05,0
1747034182.969028,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,59,425000000,20,100,0,58,5684,0.9830508474576272,1.3647058823529413e-07,96.33898305084746,1.3374117647058824e-05,0
1747034182.969028,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,59,422000000,20,100,0,58,5684,0.9830508474576272,1.3744075829383887e-07,96.33898305084746,1.3469194312796208e-05,0
1747034192.971023,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,69,427000000,20,100,0,68,6664,0.9855072463768116,1.5925058548009367e-07,96.57971014492753,1.560655737704918e-05,0
1747034192.971023,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,69,424000000,20,100,0,68,6664,0.9855072463768116,1.6037735849056605e-07,96.57971014492753,1.5716981132075473e-05,0
1747034202.973659,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,79,429000000,20,100,0,78,7644,0.9873417721518988,1.8181818181818183e-07,96.75949367088607,1.781818181818182e-05,0
1747034202.973659,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,79,426000000,20,100,0,78,7644,0.9873417721518988,1.8309859154929577e-07,96.75949367088607,1.7943661971830986e-05,0
1747034212.976498,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,89,432000000,20,100,0,88,8624,0.9887640449438202,2.037037037037037e-07,96.89887640449439,1.9962962962962963e-05,0
1747034212.976498,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,89,429000000,20,100,0,88,8624,0.9887640449438202,2.0512820512820512e-07,96.89887640449439,2.0102564102564104e-05,0
1747034222.981047,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,99,437000000,20,100,0,97,9506,0.9797979797979798,2.2196796338672768e-07,96.02020202020202,2.1752860411899312e-05,0
1747034222.981047,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,99,434000000,20,100,0,97,9506,0.9797979797979798,2.2350230414746545e-07,96.02020202020202,2.190322580645161e-05,0
1747034232.98338,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,9,86000000,20,100,0,9,882,1.0,1.0465116279069768e-07,98.0,1.0255813953488371e-05,0
1747034232.98338,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,9,85000000,20,100,0,8,784,0.8888888888888888,9.411764705882353e-08,87.11111111111111,9.223529411764706e-06,0
1747034242.985851,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,19,89000000,20,100,0,19,1862,1.0,2.1348314606741573e-07,98.0,2.0921348314606743e-05,0
1747034242.985851,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,19,88000000,20,100,0,18,1764,0.9473684210526315,2.0454545454545456e-07,92.84210526315789,2.0045454545454544e-05,0
1747034252.987713,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,29,90000000,20,100,0,29,2842,1.0,3.222222222222222e-07,98.0,3.1577777777777777e-05,0
1747034252.987713,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,29,89000000,20,100,0,28,2744,0.9655172413793104,3.146067415730337e-07,94.62068965517241,3.0831460674157306e-05,0
1747034262.989082,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,39,92000000,20,100,0,39,3822,1.0,4.2391304347826086e-07,98.0,4.1543478260869566e-05,0
1747034262.989082,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,39,91000000,20,100,0,38,3724,0.9743589743589743,4.1758241758241757e-07,95.48717948717949,4.0923076923076925e-05,0
1747034272.991845,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,49,94000000,20,100,0,48,4704,0.9795918367346939,5.106382978723404e-07,96.0,5.004255319148936e-05,0
1747034272.991845,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,49,93000000,20,100,0,47,4606,0.9591836734693877,5.053763440860215e-07,94.0,4.952688172043011e-05,0
